num,dependency_name,related_options,original_reachability,actor_id
1,Threads,,"['CMAKE_SYSTEM_NAME MATCHES ""Linux""'] or ['NOT (CMAKE_SYSTEM_NAME MATCHES ""Linux"")', 'CMAKE_SYSTEM_NAME MATCHES ""FreeBSD""'] or [] or ['WITH_BLUESTORE_PMEM OR WITH_RBD_RWL', 'NOT (WITH_SYSTEM_PMDK)', ''] or ['dpdk_FOUND', 'NOT TARGET dpdk::dpdk'] or ['""thread"" IN_LIST Boost_FIND_COMPONENTS']",23939
2,rt,HAVE_POSIX_TIMERS,['HAVE_POSIX_TIMERS'],148
3,verbs,WITH_RDMA DPDK_rte_${c}_LIBRARY ${dpdk_lib} c  pmd_mlx5,"['WITH_RDMA'] or ['DPDK_rte_${c}_LIBRARY', 'NOT TARGET ${dpdk_lib}', 'c STREQUAL pmd_mlx5']",22158
4,rdmacm,WITH_RDMA,['WITH_RDMA'],265
5,Backtrace,,[],268
6,udev,LINUX,['LINUX'],271
7,blkid,LINUX,['LINUX'],273
8,keyutils,,"['LINUX'] or ['LINUX', 'WITH_LIBCEPHFS OR WITH_KRBD'] or []",24879
9,OpenLDAP,WITH_OPENLDAP,['WITH_OPENLDAP'],288
10,GSSApi,WITH_GSSAPI,['WITH_GSSAPI'],292
11,FUSE,WITH_FUSE,['WITH_FUSE'],296
12,xfs,WITH_XFS,['WITH_XFS'],301
13,aio,WITH_BLUESTORE LINUX WITH_SPDK LINUX,"['WITH_BLUESTORE', 'LINUX'] or ['WITH_SPDK', 'LINUX']",506
14,libcryptsetup,WITH_RBD LINUX,['WITH_RBD AND LINUX'],311
15,uring,WITH_LIBURING WITH_SYSTEM_LIBURING,"['WITH_LIBURING', 'WITH_SYSTEM_LIBURING']",319
16,dml,,['WITH_BLUESTORE_PMEM'] or [],24403
17,CUnit,WITH_SPDK,['WITH_SPDK'],504
18,uuid,,"['WITH_SPDK', 'LINUX'] or []",12138
19,QatDrv,WITH_QATDRV,['WITH_QATDRV'],559
20,QAT,WITH_QATDRV WITH_QATLIB,"['NOT (WITH_QATDRV)', 'WITH_QATLIB']",583
21,QATzip,WITH_QATZIP,['WITH_QATZIP'],615
22,SQLite3,WITH_LIBCEPHSQLITE WITH_RADOSGW WITH_RADOSGW_DBSTORE USE_SQLITE,"['WITH_LIBCEPHSQLITE'] or ['WITH_RADOSGW', 'WITH_RADOSGW_DBSTORE', 'USE_SQLITE']",11502
23,snappy,,[] or [],24694
24,LZ4,WITH_LZ4,['WITH_LZ4'],666
25,gperftools,ALLOCATOR ${ALLOCATOR} MATCHES ALLOCATOR WITH_PROFILER,"['ALLOCATOR', '${ALLOCATOR} MATCHES ""tcmalloc(_minimal)?""'] or ['NOT (ALLOCATOR)', 'ALLOCATOR'] or ['WITH_PROFILER']",2666
26,JeMalloc,ALLOCATOR ${ALLOCATOR}  STREQUAL ALLOCATOR gperftools_FOUND,"['ALLOCATOR', 'NOT (${ALLOCATOR} MATCHES ""tcmalloc(_minimal)?"")', '${ALLOCATOR} STREQUAL ""jemalloc""'] or ['NOT (ALLOCATOR)', 'ALLOCATOR', 'NOT gperftools_FOUND']",685
27,CURL,WIN32,['NOT WIN32'],704
28,OpenSSL,,[],705
29,dpdk,WITH_DPDK WITH_SEASTAR Seastar_DPDK PKG_CONFIG_FOUND,"['WITH_DPDK'] or ['WITH_SEASTAR', 'Seastar_DPDK'] or ['PKG_CONFIG_FOUND']",22134
30,LTTngUST,WITH_BLKIN ${WITH_LTTNG},['WITH_BLKIN'] or ['${WITH_LTTNG}'],890
31,EXPAT,WITH_RADOSGW,['WITH_RADOSGW'],848
32,OATH,WITH_RADOSGW,['WITH_RADOSGW'],849
33,Python3,WIN32 WITH_SYSTEM_BOOST with_python_version WIN32 WIN32 WIN32 WIN32 WITH_CEPHFS WITH_CEPHFS_SHELL WITH_CEPHFS WITH_CEPHFS_TOP WITH_CEPHFS WITH_CEPHFS_TOP,"['NOT WIN32'] or ['NOT (WITH_SYSTEM_BOOST)', '', 'with_python_version'] or ['NOT WIN32'] or ['NOT WIN32'] or ['NOT WIN32'] or ['NOT WIN32'] or ['WITH_CEPHFS', 'WITH_CEPHFS_SHELL'] or ['WITH_CEPHFS', 'WITH_CEPHFS_TOP'] or ['WITH_CEPHFS', 'WITH_CEPHFS_TOP']",3917
34,ZLIB,,[],886
35,babeltrace,,['WITH_BABELTRACE'] or [],12074
36,Sanitizers,sanitizers,['sanitizers'],950
37,RocksDB,WITH_SYSTEM_ROCKSDB,['WITH_SYSTEM_ROCKSDB'],957
38,Boost,WITH_SYSTEM_BOOST Boost_NO_BOOST_CMAKE,['WITH_SYSTEM_BOOST'] or ['NOT Boost_NO_BOOST_CMAKE'],22210
39,StdFilesystem,,[],1155
40,NUMA,WITH_SPDK dpdk-ext WITH_DPDK DPDK_FOUND WITH_SEASTAR Seastar_DPDK DPDK_FOUND,"['WITH_SPDK', 'NOT TARGET dpdk-ext'] or ['WITH_DPDK', 'NOT DPDK_FOUND'] or ['WITH_SEASTAR', 'Seastar_DPDK', 'NOT DPDK_FOUND']",1631
41,thrift,,"['WITH_JAEGER'] or ['WITH_RADOSGW', 'WITH_RADOSGW_SELECT_PARQUET OR WITH_RADOSGW_ARROW_FLIGHT', 'NOT (WITH_SYSTEM_ARROW)', ''] or []",22120
42,fmt,WITH_SYSTEM_FMT,['WITH_SYSTEM_FMT'],1582
43,c-ares,WITH_SEASTAR WITH_RADOSGW WITH_RADOSGW_SELECT_PARQUET WITH_RADOSGW_ARROW_FLIGHT WITH_SYSTEM_ARROW,"['WITH_SEASTAR'] or ['WITH_RADOSGW', 'WITH_RADOSGW_SELECT_PARQUET OR WITH_RADOSGW_ARROW_FLIGHT', 'NOT (WITH_SYSTEM_ARROW)', '', 'WITH_RADOSGW_ARROW_FLIGHT']",11395
44,pmdk,WITH_BLUESTORE_PMEM WITH_RBD_RWL WITH_SYSTEM_PMDK,"['WITH_BLUESTORE_PMEM OR WITH_RBD_RWL', 'WITH_SYSTEM_PMDK']",2302
45,ndctl,WITH_BLUESTORE_PMEM WITH_RBD_RWL WITH_SYSTEM_PMDK,"['WITH_BLUESTORE_PMEM OR WITH_RBD_RWL', 'NOT (WITH_SYSTEM_PMDK)', '', 'WITH_BLUESTORE_PMEM']",2308
46,daxctl,WITH_BLUESTORE_PMEM WITH_RBD_RWL WITH_SYSTEM_PMDK,"['WITH_BLUESTORE_PMEM OR WITH_RBD_RWL', 'NOT (WITH_SYSTEM_PMDK)', '', 'WITH_BLUESTORE_PMEM']",2309
47,Lua,WITH_CEPHFS WITH_RADOSGW,['WITH_CEPHFS OR WITH_RADOSGW'],2510
48,GTest,WITH_TESTS WITH_SYSTEM_GTEST,"['WITH_TESTS', 'WITH_SYSTEM_GTEST']",3615
49,GMock,WITH_TESTS WITH_SYSTEM_GTEST,"['WITH_TESTS', 'WITH_SYSTEM_GTEST']",3616
50,Protobuf,WITH_NVMEOF_GATEWAY_MONITOR_CLIENT WITH_RADOSGW WITH_RADOSGW_SELECT_PARQUET WITH_RADOSGW_ARROW_FLIGHT WITH_SYSTEM_ARROW,"['WITH_NVMEOF_GATEWAY_MONITOR_CLIENT'] or ['WITH_RADOSGW', 'WITH_RADOSGW_SELECT_PARQUET OR WITH_RADOSGW_ARROW_FLIGHT', 'NOT (WITH_SYSTEM_ARROW)', '', 'WITH_RADOSGW_ARROW_FLIGHT']",11394
51,gRPC,WITH_NVMEOF_GATEWAY_MONITOR_CLIENT WITH_RADOSGW WITH_RADOSGW_SELECT_PARQUET WITH_RADOSGW_ARROW_FLIGHT WITH_SYSTEM_ARROW,"['WITH_NVMEOF_GATEWAY_MONITOR_CLIENT'] or ['WITH_RADOSGW', 'WITH_RADOSGW_SELECT_PARQUET OR WITH_RADOSGW_ARROW_FLIGHT', 'NOT (WITH_SYSTEM_ARROW)', '', 'WITH_RADOSGW_ARROW_FLIGHT']",11393
52,Arrow,,"['WITH_RADOSGW', 'WITH_RADOSGW_SELECT_PARQUET OR WITH_RADOSGW_ARROW_FLIGHT', 'WITH_SYSTEM_ARROW'] or ['NOT (ARROW_HOME)', '', 'ARROW_USE_CMAKE_PACKAGE_CONFIG'] or []",24652
53,Parquet,WITH_RADOSGW WITH_RADOSGW_SELECT_PARQUET WITH_RADOSGW_ARROW_FLIGHT WITH_SYSTEM_ARROW ARROW_FOUND PARQUET_HOME PARQUET_USE_CMAKE_PACKAGE_CONFIG,"['WITH_RADOSGW', 'WITH_RADOSGW_SELECT_PARQUET OR WITH_RADOSGW_ARROW_FLIGHT', 'WITH_SYSTEM_ARROW'] or ['ARROW_FOUND', 'NOT (PARQUET_HOME)', '', 'PARQUET_USE_CMAKE_PACKAGE_CONFIG']",24675
54,utf8proc,WITH_RADOSGW WITH_RADOSGW_SELECT_PARQUET WITH_RADOSGW_ARROW_FLIGHT WITH_SYSTEM_ARROW WITH_SYSTEM_UTF8PROC,"['WITH_RADOSGW', 'WITH_RADOSGW_SELECT_PARQUET OR WITH_RADOSGW_ARROW_FLIGHT', 'NOT (WITH_SYSTEM_ARROW)', '', 'WITH_SYSTEM_UTF8PROC']",11333
55,Doxygen,,[],11719
56,Git,,"['ENABLE_GIT_VERSION', 'NOT GIT_FOUND'] or []",12027
57,Java,WITH_CEPHFS_JAVA,['WITH_CEPHFS_JAVA'],1490
58,JNI,WITH_CEPHFS_JAVA,['WITH_CEPHFS_JAVA'],1491
59,LinuxZNS,WITH_SEASTAR WITH_ZNS,"['WITH_SEASTAR', 'WITH_ZNS']",1795
60,cap,,['NOT WIN32'] or [],24823
61,Cython,WIN32,['NOT WIN32'],2824
62,Zstd,WITH_SYSTEM_ZSTD WITH_RADOSGW WITH_RADOSGW_SELECT_PARQUET WITH_RADOSGW_ARROW_FLIGHT WITH_SYSTEM_ARROW WITH_SYSTEM_ZSTD,"['WITH_SYSTEM_ZSTD'] or ['WITH_RADOSGW', 'WITH_RADOSGW_SELECT_PARQUET OR WITH_RADOSGW_ARROW_FLIGHT', 'NOT (WITH_SYSTEM_ARROW)', '', 'WITH_SYSTEM_ZSTD']",11400
63,Curses,WITH_RBD,['WITH_RBD'],3927
64,nl,WITH_RBD LINUX,"['WITH_RBD', 'LINUX']",3955
65,PkgConfig,,"['WITH_LIBCEPHFS', 'LINUX'] or ['WITH_SYSTEMD'] or [] or [] or [] or [] or [] or [] or [] or [] or [] or [] or [] or []",24852
66,CAPNG,WITH_LIBCEPHFS LINUX,"['WITH_LIBCEPHFS', 'LINUX']",11168
67,ICU,WITH_RADOSGW,['WITH_RADOSGW'],11473
68,LMDB,WITH_RADOSGW WITH_RADOSGW_POSIX,"['WITH_RADOSGW', 'WITH_RADOSGW_POSIX']",11591
69,motr,,"['WITH_RADOSGW', 'WITH_RADOSGW_MOTR'] or []",21909
70,DAOS,WITH_RADOSGW WITH_RADOSGW_DAOS,"['WITH_RADOSGW', 'WITH_RADOSGW_DAOS']",11627
71,RabbitMQ,WITH_RADOSGW WITH_RADOSGW_AMQP_ENDPOINT,"['WITH_RADOSGW', 'WITH_RADOSGW_AMQP_ENDPOINT']",11640
72,RDKafka,WITH_RADOSGW WITH_RADOSGW_KAFKA_ENDPOINT,"['WITH_RADOSGW', 'WITH_RADOSGW_KAFKA_ENDPOINT']",11642
73,gtest,WITH_RADOSGW WITH_RADOSGW_DBSTORE,"['WITH_RADOSGW', 'WITH_RADOSGW_DBSTORE']",11515
74,LDAP_LIBRARY,,[],12043
75,LBER_LIBRARY,,[],12044
76,ROCKSDB_LIBRARIES,,[],12059
77,GSSAPI_KRB5_LIBRARY,,[],12081
78,rabbitmq,,[],12103
79,qat,,[],12146
80,usdm,,[],12147
81,motr-helpers,,[],21910
82,libcryptsetup.so,,[],21925
83,ARROW,,[],21962
84,BLKID_LIBRARIES,,[],22115
85,UDEV_LIBRARIES,,[],22128
86,NUMA_LIBRARIES,,[],24360
87,daos,,[],24367
88,dfs,,[],24368
89,ds3,,[],24369
90,duns,,[],24370
91,daxctl_LIBRARY,,[],24385
92,dmlhl,,[],24404
93,ndctl_LIBRARY,,[],24422
94,handle,,[],24436
95,RDMACM_LIBRARIES,,[],24442
96,cares,,[],24453
97,FUSE_LIBRARIES,PKG_CONFIG_FOUND PKG_CONFIG_FOUND,"['PKG_CONFIG_FOUND'] or ['NOT (PKG_CONFIG_FOUND)', '']",24482
98,JEMALLOC_LIBRARIES,,[],24526
99,libasan.so.10,Sanitizers_address_COMPILE_OPTIONS Sanitizers_leak_COMPILE_OPTIONS,['Sanitizers_address_COMPILE_OPTIONS OR Sanitizers_leak_COMPILE_OPTIONS'],24555
100,rdkafka,,[],24582
101,LMDB_LIBRARIES,STATIC MINGW STATIC MINGW STATIC,"['STATIC', 'MINGW'] or ['STATIC', 'NOT (MINGW)', ''] or ['NOT (STATIC)', '']",24602
102,URING_LIBRARIES,,[],24614
103,AIO_LIBRARIES,,[],24622
104,qatzip,,[],24629
105,sqlite3,,[],24637
106,PARQUET,ARROW_FOUND,['ARROW_FOUND'],24658
107,utf8proc_LIB,utf8proc_ROOT utf8proc_ROOT,"['utf8proc_ROOT'] or ['NOT (utf8proc_ROOT)', '']",24728
108,VERBS_LIBRARIES,,[],24748
109,gmock,,[],24765
110,gmock_main,,[],24766
111,oath,,[],24774
112,ZBD_LIBRARIES,,[],24785
113,lttng-ust,,[],24790
114,PC_cap,,[],24822
115,yaml-cpp,,[],24854
116,lz4,,[],24871
117,cunit,,[],24920
118,Backtrace_LIBRARY,_Backtrace_SYM_FOUND Backtrace_INCLUDE_DIR _Backtrace_SYM_FOUND Backtrace_INCLUDE_DIR,"['NOT (_Backtrace_SYM_FOUND)', '', 'Backtrace_INCLUDE_DIR'] or ['NOT (_Backtrace_SYM_FOUND)', '', 'NOT (Backtrace_INCLUDE_DIR)', '']",24953
