num,dependency_name,related_options,original_reachability,actor_id
1,OpenGL,,"[] or ['HAVE_VISUALISATIONS', 'NOT (USE_SYSTEM_PROJECTM)', 'USE_SYSTEM_PROJECTM'] or ['HAVE_VISUALISATIONS']",9953
2,Boost,,[],118
3,Gettext,,[],119
4,PkgConfig,,[],120
5,Protobuf,,[],121
6,FFTW3,,[],122
7,ALSA,,[],123
8,X11,APPLE HAVE_VISUALISATIONS USE_SYSTEM_PROJECTM HAVE_VISUALISATIONS USE_SYSTEM_PROJECTM,"['NOT APPLE'] or ['HAVE_VISUALISATIONS', 'NOT (USE_SYSTEM_PROJECTM)', 'USE_SYSTEM_PROJECTM'] or ['HAVE_VISUALISATIONS', 'NOT (USE_SYSTEM_PROJECTM)', 'USE_SYSTEM_PROJECTM']",9750
9,PROTOBUF_STATIC_LIBRARY,,[],128
10,CDIO,,[],129
11,CHROMAPRINT,,[],537
12,GIO,,[],945
13,GLIB,,[],1353
14,GOBJECT,,[],1761
15,GSTREAMER,,[],2169
16,GSTREAMER_APP,,[],2577
17,GSTREAMER_AUDIO,,[],2985
18,GSTREAMER_BASE,,[],3393
19,GSTREAMER_TAG,,[],3801
20,GSTREAMER_PBUTILS,,[],4209
21,LIBGPOD,,[],4617
22,LIBMTP,,[],5025
23,LIBMYGPO_QT5,,[],5433
24,LIBPULSE,,[],5841
25,LIBXML,,[],6249
26,TAGLIB,,[],6657
27,ZLIB,,"[] or ['NOT (TAGLIB_FOUND AND USE_SYSTEM_TAGLIB)', '', 'NOT ZLIB_SOURCE']",7177
28,LASTFM5_LIBRARIES,,[],7066
29,Qt5,,[] or ['HAVE_X11'] or ['APPLE'] or ['WIN32'],7078
30,Qt5DBus,HAVE_X11,['HAVE_X11'],7074
31,Qt5LinguistTools,,[],7089
32,SPARKLE,APPLE,['APPLE'],7240
33,Threads,,[],7247
34,LIBPROJECTM,HAVE_VISUALISATIONS USE_SYSTEM_PROJECTM,"['HAVE_VISUALISATIONS', 'USE_SYSTEM_PROJECTM']",8012
35,QTSINGLEAPPLICATION_LIBRARIES,USE_SYSTEM_QTSINGLEAPPLICATION,['USE_SYSTEM_QTSINGLEAPPLICATION'],9807
36,QTSINGLECOREAPPLICATION_LIBRARIES,USE_SYSTEM_QTSINGLEAPPLICATION,['USE_SYSTEM_QTSINGLEAPPLICATION'],9808
37,QTIOCOMPRESSOR_LIBRARIES,,[],9825
38,QXT_LIBRARIES,USE_SYSTEM_QXT,['USE_SYSTEM_QXT'],9841
39,GMOCK_LIBRARIES,,[],9867
40,GTEST_LIBRARIES,GMOCK_INCLUDE_DIRS,['GMOCK_INCLUDE_DIRS'],9870
41,CppUnit,TAGLIB_FOUND USE_SYSTEM_TAGLIB BUILD_TESTS BUILD_SHARED_LIBS,"['NOT (TAGLIB_FOUND AND USE_SYSTEM_TAGLIB)', '', 'BUILD_TESTS AND NOT BUILD_SHARED_LIBS']",7183
42,GLEW,HAVE_VISUALISATIONS USE_SYSTEM_PROJECTM,"['HAVE_VISUALISATIONS', 'NOT (USE_SYSTEM_PROJECTM)', 'USE_SYSTEM_PROJECTM']",8441
43,glew32.dll,HAVE_VISUALISATIONS USE_SYSTEM_PROJECTM USE_NATIVE_GLEW,"['HAVE_VISUALISATIONS', 'NOT (USE_SYSTEM_PROJECTM)', 'USE_SYSTEM_PROJECTM', 'NOT (USE_NATIVE_GLEW)', 'USE_NATIVE_GLEW']",8858
44,FREETYPE2,HAVE_VISUALISATIONS USE_SYSTEM_PROJECTM USE_FTGL,"['HAVE_VISUALISATIONS', 'NOT (USE_SYSTEM_PROJECTM)', 'USE_SYSTEM_PROJECTM', 'USE_FTGL']",8902
45,FTGL,HAVE_VISUALISATIONS USE_SYSTEM_PROJECTM USE_FTGL,"['HAVE_VISUALISATIONS', 'NOT (USE_SYSTEM_PROJECTM)', 'USE_SYSTEM_PROJECTM', 'USE_FTGL']",9310
46,SQLITE_LIBRARIES,,[],9794
47,Backtrace,,[],11272
48,fftw3,,[],11419
49,fftwf3,,[],11420
50,fftwl3,,[],11421
51,fftw_sse2,,[],11422
52,fftwf_sse,version ,[version VERSION_GREATER 1.11.1],11423
53,QJSON,QJSON_INCLUDE_DIR QJSON_LIBRARIES WIN32,"['NOT (QJSON_INCLUDE_DIR AND QJSON_LIBRARIES)', 'QJSON_INCLUDE_DIR AND QJSON_LIBRARIES', 'NOT WIN32']",11456
54,qjson,QJSON_INCLUDE_DIR QJSON_LIBRARIES,"['NOT (QJSON_INCLUDE_DIR AND QJSON_LIBRARIES)', 'QJSON_INCLUDE_DIR AND QJSON_LIBRARIES']",11864
