scope,id,type,name,is_modified,is_value_affected,is_reach_affected,is_upstream,node_id,node_operation,node_type,node_s_pos,node_e_pos,node_level,actor_id,reachability,reachability_actor_ids,code,use_ids,non_contaminated_use_nodes
CMakeLists.txt:n_dst_11637,f55f5442c2af74da421c038289c29c322fd0ad3a_destination_def_1,VARIABLE,RELEASE,True,False,False,False,CMakeLists.txt:n_dst_19,added,unquoted_argument,65,72,3,f55f5442c2af74da421c038289c29c322fd0ad3a_destination_actor_3,[],[],"option(RELEASE ""release mode"" OFF)","['f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_28', 'f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_3500']",0
CMakeLists.txt:n_dst_11637,f55f5442c2af74da421c038289c29c322fd0ad3a_destination_def_2,VARIABLE,WARNING,True,False,False,False,CMakeLists.txt:n_dst_32,added,unquoted_argument,100,107,3,f55f5442c2af74da421c038289c29c322fd0ad3a_destination_actor_4,[],[],"option(WARNING ""enable warning"" ON)","['f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_27', 'f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_3501']",0
CMakeLists.txt:n_dst_11637,f55f5442c2af74da421c038289c29c322fd0ad3a_destination_def_3,VARIABLE,USE_CAFFE,True,False,False,False,CMakeLists.txt:n_dst_45,added,unquoted_argument,136,145,3,f55f5442c2af74da421c038289c29c322fd0ad3a_destination_actor_5,[],[],"option(USE_CAFFE ""build caffe backend"" ON)","['f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_1', 'f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_30', 'f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_55', 'f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_235', 'f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_246', 'f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_379', 'f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_448', 'f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_721', 'f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_762', 'f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_927', 'f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_967', 'f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_983', 'f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_1714', 'f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_3006', 'f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_3511']",0
CMakeLists.txt:n_dst_11637,f55f5442c2af74da421c038289c29c322fd0ad3a_destination_def_4,VARIABLE,USE_CAFFE_DEBUG,True,False,False,False,CMakeLists.txt:n_dst_58,added,unquoted_argument,179,194,3,f55f5442c2af74da421c038289c29c322fd0ad3a_destination_actor_6,[],[],"option(USE_CAFFE_DEBUG ""enable caffe debug"" OFF)","['f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_386', 'f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_3513']",0
CMakeLists.txt:n_dst_11637,f55f5442c2af74da421c038289c29c322fd0ad3a_destination_def_5,VARIABLE,USE_CAFFE2,True,False,False,False,CMakeLists.txt:n_dst_71,added,unquoted_argument,228,238,3,f55f5442c2af74da421c038289c29c322fd0ad3a_destination_actor_7,[],[],"option(USE_CAFFE2 ""build caffe2 backend"" OFF)","['f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_4', 'f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_6', 'f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_81', 'f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_242', 'f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_299', 'f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_727', 'f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_768', 'f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_3038', 'f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_3470', 'f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_3514']",0
CMakeLists.txt:n_dst_11637,f55f5442c2af74da421c038289c29c322fd0ad3a_destination_def_6,VARIABLE,USE_TF,True,False,False,False,CMakeLists.txt:n_dst_84,added,unquoted_argument,274,280,3,f55f5442c2af74da421c038289c29c322fd0ad3a_destination_actor_8,[],[],"option(USE_TF ""use TF backend"" OFF)","['f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_3', 'f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_7', 'f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_78', 'f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_233', 'f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_351', 'f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_725', 'f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_959', 'f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_1750', 'f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_3519']",0
CMakeLists.txt:n_dst_11637,f55f5442c2af74da421c038289c29c322fd0ad3a_destination_def_7,VARIABLE,USE_NCNN,True,False,False,False,CMakeLists.txt:n_dst_97,added,unquoted_argument,310,318,3,f55f5442c2af74da421c038289c29c322fd0ad3a_destination_actor_9,[],[],"option(USE_NCNN ""use NCNN backend"" OFF)","['f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_450', 'f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_737', 'f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_759', 'f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_1917', 'f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_3521']",0
CMakeLists.txt:n_dst_11637,f55f5442c2af74da421c038289c29c322fd0ad3a_destination_def_8,VARIABLE,USE_TORCH,True,False,False,False,CMakeLists.txt:n_dst_110,added,unquoted_argument,350,359,3,f55f5442c2af74da421c038289c29c322fd0ad3a_destination_actor_10,[],[],"option(USE_TORCH ""use libtorch backend"" OFF)","['f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_5', 'f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_8', 'f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_56', 'f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_240', 'f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_247', 'f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_476', 'f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_739', 'f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_771', 'f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_2383', 'f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_3005', 'f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_3516']",0
CMakeLists.txt:n_dst_11637,f55f5442c2af74da421c038289c29c322fd0ad3a_destination_def_9,VARIABLE,USE_HDF5,True,False,False,False,CMakeLists.txt:n_dst_123,added,unquoted_argument,395,403,3,f55f5442c2af74da421c038289c29c322fd0ad3a_destination_actor_11,[],[],"option(USE_HDF5 ""use HDF5"" ON)","['f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_94', 'f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_420', 'f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_423', 'f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_449', 'f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_707', 'f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_849', 'f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_960', 'f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_3522']",0
CMakeLists.txt:n_dst_11637,f55f5442c2af74da421c038289c29c322fd0ad3a_destination_def_10,VARIABLE,USE_TENSORRT,True,False,False,False,CMakeLists.txt:n_dst_136,added,unquoted_argument,426,438,3,f55f5442c2af74da421c038289c29c322fd0ad3a_destination_actor_12,[],[],"option(USE_TENSORRT ""use TensorRT backend"" OFF)","['f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_232', 'f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_606', 'f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_741', 'f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_765', 'f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_781', 'f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_2078', 'f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_3007', 'f55f5442c2af74da421c038289c29c322fd0ad3a_destination_use_3523']",0
