num,dependency_name,related_options,original_reachability,actor_id
1,cocoa_libraries,UNIX CMAKE_SYSTEM  ANDROID APPLE,"['UNIX', 'NOT (CMAKE_SYSTEM MATCHES ""OpenBSD*"")', 'NOT (CMAKE_SYSTEM MATCHES ""FreeBSD"")', 'NOT (CMAKE_SYSTEM MATCHES ""NetBSD"")', 'NOT (ANDROID)', 'APPLE']",765
2,iokit_libraries,UNIX CMAKE_SYSTEM  ANDROID APPLE,"['UNIX', 'NOT (CMAKE_SYSTEM MATCHES ""OpenBSD*"")', 'NOT (CMAKE_SYSTEM MATCHES ""FreeBSD"")', 'NOT (CMAKE_SYSTEM MATCHES ""NetBSD"")', 'NOT (ANDROID)', 'APPLE']",766
3,core_foundation_libraries,UNIX CMAKE_SYSTEM  ANDROID APPLE,"['UNIX', 'NOT (CMAKE_SYSTEM MATCHES ""OpenBSD*"")', 'NOT (CMAKE_SYSTEM MATCHES ""FreeBSD"")', 'NOT (CMAKE_SYSTEM MATCHES ""NetBSD"")', 'NOT (ANDROID)', 'APPLE']",767
4,system_configuration_library,UNIX CMAKE_SYSTEM  ANDROID APPLE BUNDLED_CURL,"['UNIX', 'NOT (CMAKE_SYSTEM MATCHES ""OpenBSD*"")', 'NOT (CMAKE_SYSTEM MATCHES ""FreeBSD"")', 'NOT (CMAKE_SYSTEM MATCHES ""NetBSD"")', 'NOT (ANDROID)', 'APPLE', 'BUNDLED_CURL']",772
5,security_library,UNIX CMAKE_SYSTEM  ANDROID APPLE BUNDLED_CURL FEATURE_SSL BUNDLED_OPENSSL BUNDLED_WOLFSSL,"['UNIX', 'NOT (CMAKE_SYSTEM MATCHES ""OpenBSD*"")', 'NOT (CMAKE_SYSTEM MATCHES ""FreeBSD"")', 'NOT (CMAKE_SYSTEM MATCHES ""NetBSD"")', 'NOT (ANDROID)', 'APPLE', 'BUNDLED_CURL AND FEATURE_SSL AND (NOT BUNDLED_OPENSSL AND NOT BUNDLED_WOLFSSL']",775
6,Iconv,UNIX CMAKE_SYSTEM  ANDROID APPLE BUILD_CLIENT,"['UNIX', 'NOT (CMAKE_SYSTEM MATCHES ""OpenBSD*"")', 'NOT (CMAKE_SYSTEM MATCHES ""FreeBSD"")', 'NOT (CMAKE_SYSTEM MATCHES ""NetBSD"")', 'NOT (ANDROID)', 'APPLE', 'BUILD_CLIENT']",793
7,audio_toolbox_library,UNIX CMAKE_SYSTEM  ANDROID APPLE BUILD_CLIENT,"['UNIX', 'NOT (CMAKE_SYSTEM MATCHES ""OpenBSD*"")', 'NOT (CMAKE_SYSTEM MATCHES ""FreeBSD"")', 'NOT (CMAKE_SYSTEM MATCHES ""NetBSD"")', 'NOT (ANDROID)', 'APPLE', 'BUILD_CLIENT']",794
8,carbon_library,UNIX CMAKE_SYSTEM  ANDROID APPLE BUILD_CLIENT,"['UNIX', 'NOT (CMAKE_SYSTEM MATCHES ""OpenBSD*"")', 'NOT (CMAKE_SYSTEM MATCHES ""FreeBSD"")', 'NOT (CMAKE_SYSTEM MATCHES ""NetBSD"")', 'NOT (ANDROID)', 'APPLE', 'BUILD_CLIENT']",795
9,core_audio_library,UNIX CMAKE_SYSTEM  ANDROID APPLE BUILD_CLIENT,"['UNIX', 'NOT (CMAKE_SYSTEM MATCHES ""OpenBSD*"")', 'NOT (CMAKE_SYSTEM MATCHES ""FreeBSD"")', 'NOT (CMAKE_SYSTEM MATCHES ""NetBSD"")', 'NOT (ANDROID)', 'APPLE', 'BUILD_CLIENT']",796
10,core_video_library,UNIX CMAKE_SYSTEM  ANDROID APPLE BUILD_CLIENT,"['UNIX', 'NOT (CMAKE_SYSTEM MATCHES ""OpenBSD*"")', 'NOT (CMAKE_SYSTEM MATCHES ""FreeBSD"")', 'NOT (CMAKE_SYSTEM MATCHES ""NetBSD"")', 'NOT (ANDROID)', 'APPLE', 'BUILD_CLIENT']",797
11,force_feedback_library,UNIX CMAKE_SYSTEM  ANDROID APPLE BUILD_CLIENT,"['UNIX', 'NOT (CMAKE_SYSTEM MATCHES ""OpenBSD*"")', 'NOT (CMAKE_SYSTEM MATCHES ""FreeBSD"")', 'NOT (CMAKE_SYSTEM MATCHES ""NetBSD"")', 'NOT (ANDROID)', 'APPLE', 'BUILD_CLIENT']",798
12,opengl_library,UNIX CMAKE_SYSTEM  ANDROID APPLE BUILD_CLIENT,"['UNIX', 'NOT (CMAKE_SYSTEM MATCHES ""OpenBSD*"")', 'NOT (CMAKE_SYSTEM MATCHES ""FreeBSD"")', 'NOT (CMAKE_SYSTEM MATCHES ""NetBSD"")', 'NOT (ANDROID)', 'APPLE', 'BUILD_CLIENT']",799
13,core_haptics_library,UNIX CMAKE_SYSTEM  ANDROID APPLE BUILD_CLIENT BUNDLED_SDL,"['UNIX', 'NOT (CMAKE_SYSTEM MATCHES ""OpenBSD*"")', 'NOT (CMAKE_SYSTEM MATCHES ""FreeBSD"")', 'NOT (CMAKE_SYSTEM MATCHES ""NetBSD"")', 'NOT (ANDROID)', 'APPLE', 'BUILD_CLIENT', 'BUNDLED_SDL']",802
14,game_controller_library,UNIX CMAKE_SYSTEM  ANDROID APPLE BUILD_CLIENT BUNDLED_SDL,"['UNIX', 'NOT (CMAKE_SYSTEM MATCHES ""OpenBSD*"")', 'NOT (CMAKE_SYSTEM MATCHES ""FreeBSD"")', 'NOT (CMAKE_SYSTEM MATCHES ""NetBSD"")', 'NOT (ANDROID)', 'APPLE', 'BUILD_CLIENT', 'BUNDLED_SDL']",803
15,X11,BUILD_CLIENT WIN32 APPLE ANDROID,"['BUILD_CLIENT', 'NOT WIN32 AND NOT APPLE AND NOT ANDROID']",1130
16,GLEW,BUILD_CLIENT FEATURE_RENDERER1 FEATURE_RENDERER2 BUNDLED_GLEW WIN32,"['BUILD_CLIENT', 'FEATURE_RENDERER1 OR FEATURE_RENDERER2', 'NOT BUNDLED_GLEW'] or ['NOT (WIN32)', 'WIN32']",2083
17,OpenGL,BUILD_CLIENT FEATURE_RENDERER1 FEATURE_RENDERER2,"['BUILD_CLIENT', 'FEATURE_RENDERER1 OR FEATURE_RENDERER2']",1159
18,GLES,BUILD_CLIENT FEATURE_RENDERER_GLES,"['BUILD_CLIENT', 'FEATURE_RENDERER_GLES']",1165
19,Vulkan,BUILD_CLIENT FEATURE_RENDERER_VULKAN,"['BUILD_CLIENT', 'FEATURE_RENDERER_VULKAN']",1169
20,SDL2,,"['BUILD_CLIENT', 'NOT BUNDLED_SDL'] or []",1969
21,JPEGTURBO,BUILD_CLIENT BUNDLED_JPEG,"['BUILD_CLIENT', 'NOT BUNDLED_JPEG']",1182
22,JPEG,BUILD_CLIENT BUNDLED_JPEG JPEGTURBO_FOUND,"['BUILD_CLIENT', 'NOT BUNDLED_JPEG', 'NOT (JPEGTURBO_FOUND)', '']",1191
23,Freetype,BUILD_CLIENT FEATURE_FREETYPE BUNDLED_FREETYPE,"['BUILD_CLIENT', 'FEATURE_FREETYPE', 'NOT BUNDLED_FREETYPE']",1214
24,PNG,BUILD_CLIENT FEATURE_PNG BUNDLED_PNG,"['BUILD_CLIENT', 'FEATURE_PNG', 'NOT BUNDLED_PNG']",1222
25,OpenAL,BUILD_CLIENT FEATURE_OPENAL BUNDLED_OPENAL,"['BUILD_CLIENT', 'FEATURE_OPENAL', 'NOT BUNDLED_OPENAL']",1231
26,Vorbis,BUILD_CLIENT FEATURE_OGG_VORBIS BUNDLED_OGG_VORBIS,"['BUILD_CLIENT', 'FEATURE_OGG_VORBIS', 'NOT BUNDLED_OGG_VORBIS']",1240
27,Theora,BUILD_CLIENT FEATURE_THEORA BUNDLED_THEORA,"['BUILD_CLIENT', 'FEATURE_THEORA', 'NOT BUNDLED_THEORA']",1248
28,CURL,BUILD_CLIENT BUILD_SERVER FEATURE_CURL BUNDLED_CURL,"['BUILD_CLIENT OR BUILD_SERVER', 'FEATURE_CURL', 'NOT BUNDLED_CURL']",1262
29,OpenSSL,BUILD_CLIENT BUILD_SERVER FEATURE_SSL BUNDLED_WOLFSSL BUNDLED_OPENSSL APPLE WIN32 ANDROID,"['BUILD_CLIENT OR BUILD_SERVER', 'FEATURE_SSL', 'NOT BUNDLED_WOLFSSL AND NOT BUNDLED_OPENSSL', 'NOT APPLE AND NOT WIN32 AND NOT ANDROID']",1278
30,SQLite3,BUILD_CLIENT BUILD_SERVER FEATURE_DBMS BUNDLED_SQLITE3 BUILD_MOD ANDROID FEATURE_LUASQL FEATURE_DBMS BUNDLED_SQLITE3 BUILD_MOD ANDROID FEATURE_LUASQL FEATURE_DBMS BUNDLED_SQLITE3,"['BUILD_CLIENT OR BUILD_SERVER', 'FEATURE_DBMS', 'NOT BUNDLED_SQLITE3'] or ['BUILD_MOD', 'NOT ANDROID', 'FEATURE_LUASQL AND FEATURE_DBMS', 'NOT (BUNDLED_SQLITE3)', ''] or ['BUILD_MOD', 'NOT ANDROID', 'FEATURE_LUASQL AND FEATURE_DBMS', 'NOT (BUNDLED_SQLITE3)', '']",1603
31,Lua,BUILD_MOD FEATURE_LUA BUNDLED_LUA,"['BUILD_MOD', 'FEATURE_LUA', 'NOT BUNDLED_LUA']",1322
32,ZLIB,BUILD_CLIENT BUILD_SERVER BUNDLED_ZLIB,"['BUILD_CLIENT OR BUILD_SERVER', 'NOT BUNDLED_ZLIB']",1341
33,MiniZip,BUILD_CLIENT BUILD_SERVER BUNDLED_MINIZIP,"['BUILD_CLIENT OR BUILD_SERVER', 'NOT BUNDLED_MINIZIP']",1352
34,cJSON,BUNDLED_CJSON ANDROID,"['NOT BUNDLED_CJSON', 'NOT ANDROID']",1362
35,m,BUILD_MOD,['BUILD_MOD'],1570
36,SDL32_LIBRARY,,[],1926
37,SDL32MAIN_LIBRARY,,[],1928
38,JPEG_LIBRARY,,[],1942
39,minizip,,[],1956
40,SDL2main,SDL2_BUILDING_LIBRARY ${SDL2_INCLUDE_DIR} MATCHES,"['NOT SDL2_BUILDING_LIBRARY', 'NOT ${SDL2_INCLUDE_DIR} MATCHES "".framework""']",1972
41,Threads,APPLE,['NOT APPLE'],1974
42,ogg,GP2XWIZ,['NOT GP2XWIZ'],2004
43,vorbis,GP2XWIZ,['NOT GP2XWIZ'],2005
44,vorbisfile,GP2XWIZ,['NOT GP2XWIZ'],2006
45,vorbis_dec,GP2XWIZ,"['NOT (NOT GP2XWIZ)', 'NOT GP2XWIZ']",2011
46,sqlite3,,[],2056
47,theora,,[],2072
48,glew,WIN32,['WIN32'],2080
49,LUA_LIBRARY,,[],2100
50,LUA_MATH_LIBRARY,LUA_LIBRARY UNIX APPLE,"['LUA_LIBRARY', 'UNIX AND NOT APPLE']",2103
51,GLESv1_CM,,[],2121
