num,dependency_name,related_options,original_reachability,actor_id
1,ECM,,[],11
2,Qt5Core,,[],160
3,Qt5Concurrent,,[],161
4,Qt5Gui,,[],162
5,Qt5Network,,[],163
6,Qt5Sql,,[],164
7,Qt5Svg,,[],165
8,Qt5UiTools,,[],166
9,Qt5WebKitWidgets,,[],167
10,Qt5Widgets,,[],168
11,Qt5Xml,,[],169
12,Qt5X11Extras,,[],170
13,Qt5DBus,UNIX APPLE,['UNIX AND NOT APPLE'],176
14,Qt5MacExtras,APPLE,['APPLE'],178
15,Qt5WinExtras,WIN32,['WIN32'],180
16,Qt5LinguistTools,,[],181
17,Boost,,[],186
18,Lucene++,,[],212
19,Taglib,,[],293
20,Sparsehash,,[],294
21,GnuTLS,,[],375
22,Qca-qt5,,[],456
23,KF5Attica,,[],540
24,QuaZip,,[],622
25,Jreen,,[],703
26,LibLastFm,,[],786
27,Qt5Keychain,APPLE,['NOT APPLE'],868
28,TelepathyQt,UNIX APPLE,['UNIX AND NOT APPLE'],950
29,Threads,,[],1031
30,QtSparkle,WIN32,['WIN32'],1113
31,LibsnoreQt5,WIN32 APPLE,['WIN32 OR APPLE'],1195
32,LIBVLC,,[],1276
33,Qt5Test,BUILD_TESTS,['BUILD_TESTS'],2448
34,COREAUDIO_LIBRARY,APPLE,['APPLE'],1569
35,COREFOUNDATION_LIBRARY,APPLE,['APPLE'],1570
36,FOUNDATION_LIBRARY,APPLE,['APPLE'],1571
37,SCRIPTINGBRIDGE_LIBRARY,APPLE,['APPLE'],1572
38,Tomahawk,SUBDIRECTORY  BUILD_HATCHET BUILD_GUI TOMAHAWK_LIBRARIES,"['IS_DIRECTORY ""${CMAKE_CURRENT_SOURCE_DIR}/${SUBDIRECTORY}"" AND EXISTS ""${CMAKE_CURRENT_SOURCE_DIR}/${SUBDIRECTORY}/CMakeLists.txt""', 'NOT (SUBDIRECTORY STREQUAL ""xmpp"") OR (SUBDIRECTORY STREQUAL ""google"")', 'SUBDIRECTORY STREQUAL ""hatchet""', 'BUILD_HATCHET AND BUILD_GUI', 'NOT TOMAHAWK_LIBRARIES']",1771
39,OpenSSL,SUBDIRECTORY  BUILD_HATCHET BUILD_GUI,"['IS_DIRECTORY ""${CMAKE_CURRENT_SOURCE_DIR}/${SUBDIRECTORY}"" AND EXISTS ""${CMAKE_CURRENT_SOURCE_DIR}/${SUBDIRECTORY}/CMakeLists.txt""', 'NOT (SUBDIRECTORY STREQUAL ""xmpp"") OR (SUBDIRECTORY STREQUAL ""google"")', 'SUBDIRECTORY STREQUAL ""hatchet""', 'BUILD_HATCHET AND BUILD_GUI']",1776
40,websocketpp,SUBDIRECTORY  BUILD_HATCHET BUILD_GUI,"['IS_DIRECTORY ""${CMAKE_CURRENT_SOURCE_DIR}/${SUBDIRECTORY}"" AND EXISTS ""${CMAKE_CURRENT_SOURCE_DIR}/${SUBDIRECTORY}/CMakeLists.txt""', 'NOT (SUBDIRECTORY STREQUAL ""xmpp"") OR (SUBDIRECTORY STREQUAL ""google"")', 'SUBDIRECTORY STREQUAL ""hatchet""', 'BUILD_HATCHET AND BUILD_GUI']",1777
41,SPARKLE,UNIX APPLE,"['UNIX', 'APPLE', 'APPLE']",2303
42,PkgConfig,,"[] or [] or ['NOT (QUAZIP_INCLUDE_DIRS AND QUAZIP_LIBRARIES)', 'QUAZIP_INCLUDE_DIRS AND QUAZIP_LIBRARIES', 'NOT (WIN32)', 'WIN32'] or [] or ['NOT (QCA2_INCLUDE_DIR AND QCA2_LIBRARIES)', 'QCA2_INCLUDE_DIR AND QCA2_LIBRARIES', 'NOT WIN32'] or ['NOT WIN32'] or []",2778
43,PC_SPARSEHASH,,[],2626
44,tag,,[],2636
45,TelepathyQt5,,[],2657
46,libquazip5.dll,QUAZIP_INCLUDE_DIRS QUAZIP_LIBRARIES WIN32,"['NOT (QUAZIP_INCLUDE_DIRS AND QUAZIP_LIBRARIES)', 'QUAZIP_INCLUDE_DIRS AND QUAZIP_LIBRARIES', 'WIN32']",2672
47,PC_QUAZIP,QUAZIP_INCLUDE_DIRS QUAZIP_LIBRARIES WIN32,"['NOT (QUAZIP_INCLUDE_DIRS AND QUAZIP_LIBRARIES)', 'QUAZIP_INCLUDE_DIRS AND QUAZIP_LIBRARIES', 'NOT (WIN32)', 'WIN32']",2677
48,QUAZIP_LIBRARIES,QUAZIP_INCLUDE_DIRS QUAZIP_LIBRARIES WIN32,"['NOT (QUAZIP_INCLUDE_DIRS AND QUAZIP_LIBRARIES)', 'QUAZIP_INCLUDE_DIRS AND QUAZIP_LIBRARIES', 'NOT (WIN32)', 'WIN32']",2678
49,lastfm5,,[],2685
50,qtsparkle-qt5,,[],2692
51,PC_JREEN,,[],2697
52,jreen-qt5,,[],2699
53,PC_QCA2,QCA2_INCLUDE_DIR QCA2_LIBRARIES WIN32,"['NOT (QCA2_INCLUDE_DIR AND QCA2_LIBRARIES)', 'QCA2_INCLUDE_DIR AND QCA2_LIBRARIES', 'NOT WIN32']",2712
54,PC_LIBATTICA,WIN32,['NOT WIN32'],2765
55,attica,,[],2774
56,PC_LIBVLC,,[],2779
57,vlc,,[],2782
58,TOMAHAWK_LIBRARY,,[],2790
59,ws2_32,WIN32,['WIN32'],2864
60,iphlpapi,WIN32,['WIN32'],2865
