num,dependency_name,related_options,original_reachability,actor_id
1,Python3,,[],48
2,PowerShell,WIN32 CMAKE_CROSSCOMPILING,"['WIN32', 'NOT CMAKE_CROSSCOMPILING']",101
3,vld,MSVC ENABLE_VLD,"['MSVC', 'ENABLE_VLD']",626
4,Git,,[],713
5,GLIB2,,[] or [],721
6,GMODULE2,,[] or [],730
7,GTHREAD2,,[] or [],738
8,GCRYPT,,[] or [],746
9,CARES,,[] or [],754
10,LEX,,[],757
11,Perl,,[],758
12,PCRE2,,[] or [],766
13,Gettext,WIN32,['NOT WIN32'],768
14,M,WIN32,['NOT WIN32'],769
15,LIBSSH,,[],774
16,PCAP,,[],786
17,AIRPCAP,,[],798
18,Systemd,,[],810
19,Qt6,BUILD_wireshark BUILD_logray USE_qt6,"['BUILD_wireshark OR BUILD_logray', 'USE_qt6']",830
20,Sparkle,,"['BUILD_wireshark OR BUILD_logray', 'APPLE'] or []",5505
21,MAXMINDDB,,[],881
22,MaxMindDB,,[],888
23,SMI,,[] or [],907
24,GNUTLS,,[],919
25,KERBEROS,,[],931
26,ZLIBNG,,[],943
27,ZLIB,,[],955
28,Minizipng,,[],967
29,Minizip,MINIZIPNG_FOUND,['NOT MINIZIPNG_FOUND'],980
30,BROTLI,,[],992
31,LZ4,,[],1004
32,SNAPPY,,[],1016
33,ZSTD,,[],1028
34,NGHTTP2,,[],1040
35,NGHTTP3,,[],1052
36,Lua,FETCH_lua,"['NOT (FETCH_lua)', '']",1092
37,NL,,[],1104
38,SBC,,[],1116
39,SPANDSP,,[],1128
40,BCG729,,[],1140
41,AMRNB,,[],1152
42,ILBC,,[],1164
43,OPUS,,[],1176
44,Sinsp,BUILD_logray,['BUILD_logray'],1189
45,LIBXML2,,[],1203
46,LibXml2,,[],1210
47,CAP,CMAKE_SYSTEM_NAME STREQUAL,"['CMAKE_SYSTEM_NAME STREQUAL ""Linux""']",1226
48,SETCAP,CMAKE_SYSTEM_NAME STREQUAL,"['CMAKE_SYSTEM_NAME STREQUAL ""Linux""']",1238
49,WinSparkle,,[] or [],6388
50,Asciidoctor,,[] or [],2474
51,XSLTPROC,,[],1252
52,DOXYGEN,,[],1253
53,SpeexDSP,BUILD_wireshark BUILD_logray BUILD_sharkd,['BUILD_wireshark OR BUILD_logray OR BUILD_sharkd'],1255
54,APPLE_APPLICATION_SERVICES_LIBRARY,APPLE,['APPLE'],1304
55,APPLE_APPKIT_LIBRARY,APPLE,['APPLE'],1305
56,APPLE_CORE_FOUNDATION_LIBRARY,APPLE APPLE,['APPLE'] or ['APPLE'],2432
57,APPLE_SYSTEM_CONFIGURATION_LIBRARY,APPLE,['APPLE'],1307
58,MSVC_REDIST,WIN32,['WIN32'],4196
59,NSIS,WIN32,['WIN32'],4197
60,WiX,WIN32,['WIN32'],4324
61,PortableApps,WIN32,['WIN32'],4431
62,Wireshark,,[],4784
63,PkgConfig,,"['NOT USE_REPOSITORY'] or ['NOT USE_REPOSITORY'] or ['NOT USE_REPOSITORY'] or ['NOT USE_REPOSITORY'] or ['NOT USE_REPOSITORY'] or ['NOT USE_REPOSITORY'] or ['NOT USE_REPOSITORY'] or ['NOT USE_REPOSITORY'] or ['NOT USE_REPOSITORY'] or ['NOT USE_REPOSITORY'] or ['NOT USE_REPOSITORY'] or ['NOT WIN32'] or ['NOT USE_REPOSITORY'] or ['NOT USE_REPOSITORY'] or ['NOT USE_REPOSITORY'] or ['NOT USE_REPOSITORY'] or ['NOT USE_REPOSITORY'] or ['NOT USE_REPOSITORY'] or ['NOT USE_REPOSITORY'] or ['NOT USE_REPOSITORY'] or ['NOT USE_REPOSITORY'] or ['NOT USE_REPOSITORY'] or ['NOT ZLIB_INCLUDE_DIR OR NOT ZLIB_LIBRARY', 'NOT USE_REPOSITORY'] or ['NOT (NL_LIBRARIES AND NL_INCLUDE_DIRS)', ''] or ['NOT USE_REPOSITORY'] or ['NOT USE_REPOSITORY'] or []",6955
64,SINSP,USE_REPOSITORY,['NOT USE_REPOSITORY'],4854
65,_sinsp_link_libs,SINSP_FOUND,['NOT SINSP_FOUND'],4863
66,_lib,SINSP_FOUND,['NOT SINSP_FOUND'],4874
67,_jsoncpp_lib,SINSP_FOUND,['NOT SINSP_FOUND'],4884
68,_re2_lib,SINSP_FOUND,['NOT SINSP_FOUND'],4888
69,_tbb_lib,SINSP_FOUND,['NOT SINSP_FOUND'],4896
70,_zlib_lib,SINSP_FOUND,['NOT SINSP_FOUND'],4904
71,gnutls,,[],4997
72,libminizip-ng,,[],5030
73,bz2,MINIZIPNG_FOUND,['MINIZIPNG_FOUND'],5035
74,lzma,MINIZIPNG_FOUND,['MINIZIPNG_FOUND'],5037
75,zstd,,['MINIZIPNG_FOUND'] or [],5343
76,Bcrypt,MINIZIPNG_FOUND WIN32,"['MINIZIPNG_FOUND', 'WIN32']",5042
77,opencore-amrnb,,[],5085
78,bcg729,,[],5127
79,ssh,LIBSSH_LIBRARIES LIBSSH_INCLUDE_DIRS,"['NOT (LIBSSH_LIBRARIES AND LIBSSH_INCLUDE_DIRS)', '']",5184
80,PC_LIBXML,USE_REPOSITORY,['NOT USE_REPOSITORY'],5233
81,xml2,,[],5239
82,minizip,,[],5286
83,ilbc,,[],5393
84,snappy,,[],5447
85,sbc,,[],5486
86,ZLIBNG_LIBRARY,,[],5547
87,nghttp3,,[],5621
88,pcre2-8,,[],5666
89,pcre2-8d,USE_REPOSITORY,['USE_REPOSITORY'],5668
90,nghttp2,,[],5720
91,opus,,[],5774
92,TIFF,USE_REPOSITORY,['NOT USE_REPOSITORY'],5815
93,spandsp,,[],5817
94,PC_GMODULE2,USE_REPOSITORY,['NOT USE_REPOSITORY'],5859
95,brotlidec,,[],5905
96,pcap,WIN32 CMAKE_CROSSCOMPILING,"['NOT (WIN32 AND NOT CMAKE_CROSSCOMPILING)', '']",5980
97,PC_GTHREAD2,USE_REPOSITORY,['NOT USE_REPOSITORY'],6072
98,systemd,,[],6096
99,PCRE_LIBRARY,GLIB2_FOUND UNIX CMAKE_FIND_LIBRARY_SUFFIXES STREQUAL,"['GLIB2_FOUND', 'UNIX AND CMAKE_FIND_LIBRARY_SUFFIXES STREQUAL "".a""']",6168
100,PC_LIBMAXMINDDB,USE_REPOSITORY,['NOT USE_REPOSITORY'],6238
101,maxminddb,,[],6241
102,SMI_LIBRARY,,[],6294
103,speexdsp,,[],6346
104,LUA_LIBRARY,,[],6525
105,LUA_MATH_LIBRARY,LUA_LIBRARY UNIX APPLE BEOS,"['LUA_LIBRARY', 'UNIX AND NOT APPLE AND NOT BEOS']",6529
106,ZLIB_LIBRARY,ZLIB_INCLUDE_DIR ZLIB_LIBRARY,['NOT ZLIB_INCLUDE_DIR OR NOT ZLIB_LIBRARY'],6593
107,gcrypt,,[],6664
108,gpg-error,,[],6665
109,NL3,NL_LIBRARIES NL_INCLUDE_DIRS,"['NOT (NL_LIBRARIES AND NL_INCLUDE_DIRS)', '']",6700
110,nl-3,NL_LIBRARIES NL_INCLUDE_DIRS NL3_INCLUDE_DIR,"['NOT (NL_LIBRARIES AND NL_INCLUDE_DIRS)', '', 'NL3_INCLUDE_DIR']",6705
111,nl-genl-3,NL_LIBRARIES NL_INCLUDE_DIRS NL3_INCLUDE_DIR,"['NOT (NL_LIBRARIES AND NL_INCLUDE_DIRS)', '', 'NL3_INCLUDE_DIR']",6706
112,nl-route-3,NL_LIBRARIES NL_INCLUDE_DIRS NL3_INCLUDE_DIR,"['NOT (NL_LIBRARIES AND NL_INCLUDE_DIRS)', '', 'NL3_INCLUDE_DIR']",6707
113,nl,NL_LIBRARIES NL_INCLUDE_DIRS NL_LIBRARY NL_INCLUDE_DIR,"['NOT (NL_LIBRARIES AND NL_INCLUDE_DIRS)', '', 'NOT (NL_LIBRARY AND NL_INCLUDE_DIR']",6719
114,lz4,,[],6761
115,airpcap,,[],6827
116,KERBEROS_LIBRARY,KERBEROS_FOUND,"['NOT (KERBEROS_FOUND)', '']",6884
117,CAP_LIBRARY,,[],6959
118,cares,,[],6995
